,Organization,Designation
1023,Phoenix Consulting Group,Professional RSO 
1024,Phoenix Symphony at Berkeley,Performing Arts RSO 
1025,"P
Pi Alpha Phi",CalGreeks Interfraternity Council (IFC) Fraternities 
1026,"P
Pi Beta Phi",CalGreeks Panhellenic Council (PHC) Sororities 
1027,"P
Pi Kappa Alpha",CalGreeks Interfraternity Council (IFC) Fraternities 
1028,Pi Kappa Phi,CalGreeks Interfraternity Council (IFC) Fraternities 
1029,Pi Lambda Phi,CalGreeks Interfraternity Council (IFC) Fraternities 
1030,Pi Sigma Epsilon,Professional RSO 
1031,Pi Tau Sigma,Academic RSO 
1032,Pilipino American Alliance,Cultural & Identity/Cultural & Ethnic RSO 
1033,"P
Pilipino American Graduate Student Association",Cultural & Identity/Cultural & Ethnic RSO 
1034,Pilipino American Law Society,Professional RSO 
1035,Pilipino Association for Health Careers,Professional RSO 
1036,Pilipino Basketball Association,Recreational RSO 
1037,Pilipinx Academic Student Services,Sponsored - bridges 
1038,"Pilipinx Association of Scientists, Architects, and Engineers (Formerly Pilipino Association of Scientists, Architects, and Engineers)",Professional RSO 
1039,Pioneers in Engineering,Academic RSO 
1040,Planning Students Association,Academic RSO 
1041,Plant & Microbial Biology Graduate Student Group,Departmental RSO 
1042,Planty Social,Academic RSO 
1043,PlexTech,Technology RSO 
1044,Pointe of Berkeley,Performing Arts RSO 
1045,Pokemon Club at Berkeley,Recreational RSO 
1046,"P
Police Review Project",Professional RSO 
1047,Policy Review at Berkeley,Political & Advocacy RSO 
1048,Polish Club of Berkeley,Cultural & Identity/International RSO 
1049,Political and Election Empowerment Project,Professional RSO 
1050,Political Computer Science,Technology RSO 
1051,"P
Post-Conviction Advocacy Project, The",Service RSO 
1052,Pre-Health Student Council,Health & Wellness RSO 
1053,Pre-Medical Honor Society,Academic RSO 
1054,Pre-Nursing Society,Professional RSO 
1055,"Pre-Pharmacy Informational, Learning and Leadership Society",Professional RSO 
1056,PreDental Society,Professional RSO 
1057,"Presence Fellowship, The",Spiritual RSO 
1058,"P
Prisoner Advocacy Network at Berkeley",Political & Advocacy RSO 
1059,"P
Privacy Law at Berkeley (also known as PrivLAB or PLAB)",Academic RSO 
1060,ProBonotes (formerly Boalt A Cappella),Performing Arts RSO 
1061,Product Development at Berkeley (Formerly EPOCH),Professional RSO 
1062,Product Space at Berkeley,Technology RSO 
1063,Progressive Student Association,Political & Advocacy RSO 
1064,"P
Project Coordinator Liaison",GA Government Office 
1065,"Project Pengyou, Berkeley Chapter",Cultural & Identity/International RSO 
1066,"Project Rishi, The Berkeley Chapter",Service RSO 
1067,"P
Project Safety and Field Equity",Health & Wellness RSO 
1068,Project Spreading Multiculturalism and Inspiring Leadership through Education,Service RSO 
1069,"P
Promoting the Study of Erhu Through Worldwide Opportunities",Health & Wellness RSO 
1070,Prosthetics for Change at Berkeley,Service RSO 
1071,Psi Chi,Academic RSO 
1072,Psychedelic Science at Berkeley,Academic RSO 
1073,Public Health Advocate,Publications RSO 
1074,"P
Publications and Media Center",Campus Department
1075,Puente at Berkeley,Service RSO 
1076,Puerto Rico Se Levanta,Service RSO 
1077,Punjabis at Berkeley,Cultural & Identity/International RSO 
1078,"Q
QJew",Cultural & Identity/Cultural & Ethnic RSO 
1079,Quant at Berkeley,Academic RSO 
1080,Quantum Computing at Berkeley,Technology RSO 
1081,Queer + Allied Pre-Health / Pre-Medical Association,Cultural & Identity/LGBTQ+ RSO 
1082,Queer Alliance & Resource Center,Cultural & Identity/LGBTQ+ RSO 
1083,"Q
Queer and Trans Geographers of Berkeley",Cultural & Identity/LGBTQ+ RSO 
1084,Queer Caucus,Cultural & Identity/LGBTQ+ RSO 
1085,Queer Grads,Cultural & Identity/LGBTQ+ RSO 
1086,Queer Student Union,Cultural & Identity/LGBTQ+ RSO 
1087,"Q
Queer Trans Advocacy Project",GA Government Office 
1088,"Queer Trans South, Southwest Asians, and North Africans at Berkeley (QTSSWANA) [Formerly Queer Trans South Asians at Berkeley (QTSAB)]",Cultural & Identity/LGBTQ+ RSO 
1089,"Q
Queer Womxn in Law",Cultural & Identity/LGBTQ+ RSO 
1090,"Q
Queering Public Health",Cultural & Identity/LGBTQ+ RSO 
1091,"Q
Queers United in Revolutionary Subversion",Cultural & Identity/LGBTQ+ RSO 
1092,qui parle: Critical Humanities and Social Sciences,Publications RSO 
1093,Quidditch League at Berkeley,Recreational RSO 
1094,Quiz Bowl Club,Recreational RSO 
1095,Ra-On,Performing Arts RSO 
1096,Raas Ramzat,Performing Arts RSO 
1097,"R
Radical Geographers Working Group",Political & Advocacy RSO 
1098,RAPrEvention,Health & Wellness RSO 
1099,"R
RAW Media",Media & Film RSO 
1100,Raíces Recruitment and Retention Center (formerly Raza Recruitment and Retention Center),Sponsored - bridges 
1101,Re-entry and Transfer Student Association,Service RSO 
1102,REACH! Asian Pacific American Recruitment and Retention Center,Sponsored - bridges 
1103,"R
Reclaim",Political & Advocacy RSO 
1104,"R
Reentry Advocacy Project",Service RSO 
1105,Reformed University Fellowship,Spiritual RSO 
1106,Regents' and Chancellor's Scholars Association,Professional RSO 
1107,"R
Remnant Fellowship",Spiritual RSO 
1108,Renters' Legal Assistance,Service RSO 
1109,Reproductive Justice Project,Political & Advocacy RSO 
1110,Residence Hall Assembly,Service RSO 
1111,"R
Residential & Student Services Programs",Campus Department
1112,Restorative Justice Committee,Political & Advocacy RSO 
1113,Restorative Justice League,Service RSO 
1114,ReUSE,Environmental & Sustainability RSO 
1115,Review of International Conflict and Security,Publications RSO 
1116,Rising Immigrant Scholars through Education - RISE,Service RSO 
1117,RoboBears,Professional RSO 
1118,Robomaster at Berkeley,Technology RSO 
1119,Robotics & Engineering for Youth,Service RSO 
1120,Robotics at Berkeley,Technology RSO 
1121,Rubik's Cube Club at Berkeley,Recreational RSO 
1122,Russian Student Association,Cultural & Identity/International RSO 
1123,SACNAS for Graduate Students at Berkeley,Academic RSO 
1124,"Sage Mentorship Project, The",Service RSO 
1125,"S
Sahaara at Berkeley",Service RSO 
1126,Sales and Trading Club at Berkeley,Professional RSO 
1127,"S
Salesforce Student User Group at Berkeley",Professional RSO 
1128,Salsa at Cal,Recreational RSO 
1129,"S
Scholar Athletes from Abroad",Cultural & Identity/International RSO 
1130,School of Public Health Student Government,Departmental RSO 
1131,School Psychology Student Association,Academic RSO 
1132,Science Fiction and Fantasy Short Story Workshop,Publications RSO 
1133,Science Leadership and Management,Professional RSO 
1134,Science Olympiad at Berkeley,Academic RSO 
1135,Science Policy Group at Berkeley,Political & Advocacy RSO 
1136,"S
Sciences Po-Berkeley Student Board",Academic RSO 
1137,SCUBA at Berkeley,Recreational RSO 
1138,Secular Student Alliance at Berkeley,Political & Advocacy - Advised by Millicent Morris
1139,"S
See Also Literary Journal",Publications RSO 
1140,See the Lord – Student Chapter at Berkeley,Service RSO 
1141,Seed Base Consulting,Professional RSO 
1142,"SEEDS: Strategies for Ecology, Education, Diversity, and Sustainability",Environmental & Sustainability RSO 
1143,"S
Service Group Community Page",Service RSO 
1144,She(256),Cultural & Identity/Women Interest RSO 
1145,Sigma Alpha Epsilon,CalGreeks Interfraternity Council (IFC) Fraternities 
1146,Sigma Alpha Mu,CalGreeks Interfraternity Council (IFC) Fraternities 
1147,Sigma Alpha Nu,Academic RSO 
1148,Sigma Chi,CalGreeks Interfraternity Council (IFC) Fraternities 
1149,Sigma Epsilon Omega,CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities 
1150,Sigma Eta Pi,Professional RSO 
1151,"Sigma Gamma Rho Sorority, Inc.",CalGreeks National Pan-Hellenic Council (NPHC) Fraternities & Sororities 
1152,Sigma Kappa,CalGreeks Panhellenic Council (PHC) Sororities 
1153,Sigma Mu Delta,Academic RSO 
1154,Sigma Nu,CalGreeks Interfraternity Council (IFC) Fraternities 
1155,Sigma Omicron Pi,CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities 
1156,Sigma Phi Omega,CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities 
1157,Sigma Pi,CalGreeks Interfraternity Council (IFC) Fraternities 
1158,"Sigma Pi Alpha Sorority, Inc.",CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities 
1159,"Sigma Psi Zeta Sorority, Inc.",CalGreeks Panhellenic Council (PHC) Sororities 
1160,Sikh Students Association,Cultural & Identity/Cultural & Ethnic RSO 
1161,Singapore Student Association (formerly Singapore Malaysia Student Association),Cultural & Identity/International RSO 
1162,"S
Sketchicho!",Professional RSO 
1163,Ski and Snowboard Team at Berkeley,Recreational RSO 
1164,SKY Campus Happiness Club at Berkeley,Health & Wellness RSO 
1165,Sky&X Aerospace,Technology RSO 
1166,"Smart Ass, The",Publications RSO 
1167,Smart Woman Securities at Berkeley,Professional RSO 
1168,Smash At Berkeley,Recreational RSO 
1169,Smile Train at Berkeley,Service RSO 
1170,SNAPkids at Berkeley,Service RSO 
1171,SoBears: Students for Recovery,Health & Wellness RSO 
1172,Social Justice Symposium,Academic RSO 
1173,Social Welfare,Academic RSO 
1174,Social Welfare Association for the Greater Good,Departmental RSO 
1175,"S
Social Welfare Graduate Assembly",Academic RSO 
1176,Social Welfare LGBTQ+ Student Caucus,Cultural & Identity/LGBTQ+ RSO 
1177,"S
Socialist Alternative at Berkeley",Political & Advocacy RSO 
1178,Society for Collegiate Leadership and Achievement,Academic RSO 
1179,Society for Conservation Biology Berkeley Chapter,Environmental & Sustainability RSO 
1180,"S
Society for the Study of Modern Visual Culture at Berkeley",Media & Film RSO 
1181,Society of Antiquity and its Reception,Academic RSO 
1182,Society of Asian Scientists and Engineers,Professional RSO 
1183,Society of Engineering Sciences,Academic RSO 
1184,Society of Linguistics Undergraduate Students,Departmental RSO 
1185,Society of Physics Students at Berkeley,Academic RSO 
1186,Society of Women Engineers,Cultural & Identity/Women Interest RSO 
1187,Sociological Research Symposium Committee,Academic RSO 
1188,Socratic Society at Berkeley,Academic RSO 
1189,Solar Decathlon,Environmental & Sustainability RSO 
1190,Solar Spring Break,Environmental & Sustainability RSO 
1191,"Somali, Ethiopian, Eritrean, South Sudanese, Sudanese Association (SEE§A) (formerly as Horn of Africa Student Association - HASA)",Cultural & Identity/International RSO 
1192,Songwriting at Berkeley,Performing Arts RSO 
1193,Soon Movement,Spiritual RSO 
1194,Sorayya Middle Eastern and Central Asian Dance Troupe,Performing Arts RSO 
1195,South Asian Law Students Association,Academic RSO 
1196,South Indian Society,Cultural & Identity/International RSO 
1197,Southeast Asian Mentorship,Service RSO 
1198,"S
Southeast Asian Prison Outreach Project",Political & Advocacy RSO 
1199,Southeast Asian Student Coalition,Cultural & Identity/Cultural & Ethnic RSO 
1200,Space Enterprise at Berkeley,Technology RSO 
1201,Space Law Society at Berkeley Law [FORMERLY Boalt Hall Space Law Society],Technology RSO 
1202,Space Technologies and Rocketry,Professional RSO 
1203,Space Technologies at California,Professional RSO 
1204,Speak Out Now (formerly Students for Social Change),Political & Advocacy RSO 
1205,Speaker Series: India at Berkeley,Cultural & Identity/International RSO 
1206,Spectrum: Autism at Cal,Political & Advocacy RSO 
1207,Speech at Berkeley,Academic RSO 
1208,Spikeball at Berkeley,Recreational RSO 
1209,SPIRE,Professional RSO 
1210,"S
Splash at Berkeley",Service RSO 
1211,Spoon University at Berkeley,Publications RSO 
1212,Sports Analytics Group at Berkeley,Professional RSO 
1213,Sports and Entertainment Law Society,Professional RSO 
1214,Sports Business Group at Berkeley,Professional RSO 
1215,Spring Foundation,Service RSO 
1216,Sproul Stompers,Performing Arts RSO 
1217,"Startup Law Initiative, The",Academic RSO 
1218,Statistics Graduate Students Association,Academic RSO 
1219,Steel Bridge Competition Team,Academic RSO 
1220,STEM Research Outreach,Academic RSO 
1221,"STEMinist Chronicles, The",Cultural & Identity/Women Interest RSO 
1222,"S
Stock and Futures Club",Professional RSO 
1223,Strait Talk,Cultural & Identity/International RSO 
1224,Student Action,Political & Advocacy RSO 
1225,Student American Academy of Optometry,Academic RSO 
1226,Student Association for Applied Statistics (Formerly Statistics Undergraduate Students Association),Academic RSO 
1227,Student Association for Fire Ecology at Berkeley,Academic RSO 
1228,Student Coalition for Disability Rights,Cultural & Identity/Cultural & Ethnic RSO 
1229,Student Collaborative for Impact Leadership (Formerly Center for Health Leadership Association),Health & Wellness RSO 
1230,Student Food Collective,Environmental & Sustainability RSO 
1231,Student Immigration Relief Clinic at Berkeley,Service RSO 
1232,Student Leadership Board - YWCA,Service RSO 
1233,Student Nutrition Advocacy Club,Academic RSO 
1234,"S
Student Opportunity Fund (SOF)",Campus Department
1235,"S
Student Organization for Advanced Legal Studies",Academic RSO 
1236,Student Parent Association for Recruitment and Retention,Service RSO 
1237,Student Parent Food Donations Program,Service RSO 
1238,Student Premed Advising Network,Academic RSO 
1239,Student Technology Fund,Campus Department
1240,Student to Student Peer Counseling,Service RSO 
1241,Student Union Board,ASUC Government Program 
1242,Students Against Fascism and War,Political & Advocacy RSO 
1243,Students Demand Action for Gun Sense In America,Political & Advocacy RSO 
1244,"S
Students for a National Health Program",Political & Advocacy RSO 
1245,"S
Students for Adaptive Sports",Recreational RSO 
1246,Students for Basic Needs Justice,Political & Advocacy RSO 
1247,Students for Economic and Environmental Justice,Environmental & Sustainability RSO 
1248,"S
Students for Environmental Advocacy and Global University Leadership on Sustainability",Environmental & Sustainability RSO 
1249,"S
Students for Environmental Energy Development",Environmental & Sustainability RSO 
1250,Students for Hip Hop,Recreational RSO 
1251,Students for Jovanka,Political & Advocacy RSO 
1252,Students for Justice in Palestine,Political & Advocacy RSO 
1253,Students for Life at Berkeley,Political & Advocacy RSO 
1254,"S
Students for Racial justice, Inclusion, Diversity, and Equity",Political & Advocacy RSO 
1255,Students for Warren at Berkeley,Political & Advocacy RSO 
1256,Students of Applied Science and Technology,Departmental RSO 
1257,Students of Color Emerging in English (Formerly Latinxs Emerging in English),Academic RSO 
1258,Students of Color Environmental Collective,Political & Advocacy RSO 
1259,Students of Color in Public Policy,Academic RSO 
1260,"S
Sugar Smart",Health & Wellness RSO 
1261,Suitcase Clinic,Service RSO 
1262,"S
Summer International Exchange",Cultural & Identity/International RSO 
1263,Sunrise Movement Berkeley,Political & Advocacy RSO 
1264,"Support, ENcourage and Develop for Children of Berkeley",Academic RSO 
1265,Supporting Peers in Laid-Back Listening,Health & Wellness RSO 
1266,"S
Supreme Corks",Academic RSO 
1267,Surayah Student Union,Cultural & Identity/International RSO 
1268,Surfrider Foundation UC Berkeley Club,Environmental & Sustainability RSO 
1269,"S
Survivor Advocacy Project",Political & Advocacy RSO 
1270,Sustainability Team at Berkeley Law,Environmental & Sustainability RSO 
1271,Sustainable Housing at California (Formerly THIMBY/Solar Decathlon),Environmental & Sustainability RSO 
1272,Sustainable Technology Competition at Berkeley,Environmental & Sustainability RSO 
1273,"S
Swim Club at Berkeley",Recreational RSO 
1274,Synapse,Publications RSO 
1275,"S
Synergy",Performing Arts RSO 
1276,"S
Synthesizers for Mental Health",Health & Wellness RSO 
1277,T-Cal,Health & Wellness RSO 
1278,T.I.n.Y. Chinese Theatre Group,Performing Arts RSO 
1279,Taiwanese American Student Association,Cultural & Identity/Cultural & Ethnic RSO 
1280,Taiwanese Student Association,Cultural & Identity/International RSO 
1281,TAMID Group,Professional RSO 
1282,"T
Tao Vegetarian Cooking and Mindfulness",Health & Wellness RSO 
1283,TASSEL at Berkeley,Service RSO 
1284,Tassellink,Academic RSO 
1285,Tau Beta Pi,Academic RSO 
1286,Tau Kappa Epsilon,CalGreeks Interfraternity Council (IFC) Fraternities 
1287,TBD Comedy,Performing Arts RSO 
1288,Teach in Prison,Service RSO 
1289,Team HBV,Health & Wellness RSO 
1290,Team Velociraptors,Performing Arts RSO 
1291,Tech + Social Impact,Technology RSO 
1292,"T
Tech Chair",GA Government Office 
1293,Tech-Know,Service RSO 
1294,Technology and Public Interest Law and Policy,Professional RSO 
1295,"T
TEST GA Graduate Women",GA Government Office 
1296,Thai Students Association,Cultural & Identity/International RSO 
1297,Thaqalayn Islamic Society of Berkeley [Formerly Islamic Awareness of Berkeley],Spiritual RSO 
1298,Theater for Charity,Performing Arts RSO 
1299,Theta Chi,CalGreeks Interfraternity Council (IFC) Fraternities 
1300,Theta Delta Chi,CalGreeks Interfraternity Council (IFC) Fraternities 
1301,Theta Tau,Professional RSO 
1302,Think Tank of Berkeley,Professional RSO 
1303,"Thomistic Institute at Berkeley, The",Spiritual RSO 
1304,Threads (formerly Al-Bayan),Publications RSO 
1305,Thrive Aspire Lead (formerly known as True Asian Leaders),Service RSO 
1306,Thrive Dance Company,Performing Arts RSO 
1307,Thriving in Science,Professional RSO 
1308,To An Unknown God,Publications RSO 
1309,Toastmasters on Campus,Professional RSO 
1310,Together Educating All Children in Hospitals,Service RSO 
1311,Tokiha,Service RSO 
1312,Toppa at Berkeley,Professional RSO 
1313,Trainers Coalition at Berkeley,Health & Wellness RSO 
1314,Transfer Coalition,Political & Advocacy RSO 
1315,Translational Medicine & Stem Cell Association (Formerly Student Society for Stem Cell Research),Academic RSO 
1316,Transportation Graduate Students Organizing Committee,Departmental RSO 
1317,"T
Transportation Team at Berkeley",Departmental RSO 
1318,TRENZA,Cultural & Identity/Women Interest RSO 
1319,Triathlon Club at Berkeley,Recreational RSO 
1320,"Troika: An Undergraduate Journal in Slavic, East European and Eurasian Studies",Publications RSO 
1321,TrueLement,Performing Arts RSO 
1322,Turkish Student Association at Berkeley,Cultural & Identity/International RSO 
1323,Tzu Chi Compassion Relief Foundation,Service RSO 
1324,UC Berkeley Indus,Cultural & Identity/Cultural & Ethnic RSO 
1325,UC Berkeley Model United Nations,Academic RSO 
1326,UC Jazz Ensemble,Performing Arts RSO 
1327,UC Rally Committee,Service RSO 
1328,"U
Unbounded Representation",Academic RSO 
1329,Unconscious Bias Project at Berkeley,Cultural & Identity/Cultural & Ethnic RSO 
1330,Undergraduate Astronomy Society - Berkeley,Departmental RSO 
1331,Undergraduate Communications Association,Academic RSO 
1332,Undergraduate Economics Association,Academic RSO 
1333,Undergraduate Finance Association|Undergraduate Management Consulting Group,Professional RSO 
1334,Undergraduate Group for Theoretical Computing,Departmental RSO 
1335,Undergraduate Journal of Classics at Berkeley,Publications RSO 
1336,Undergraduate Laboratory at Berkeley,Academic RSO 
1337,Undergraduate Legal Honors Society (Formerly Law in Practice at Berkeley),Academic RSO 
1338,Undergraduate Marketing Association,Academic RSO 
1339,Undergraduate Political Science Association,Academic RSO 
1340,Undergraduate Real Estate Club,Professional RSO 
1341,Undergraduate Student Council of the College of Environmental Design,Departmental RSO 
1342,Undergraduate Women in Economics at Berkeley,Cultural & Identity/Women Interest RSO 
1343,Underground Scholars Initiative,Cultural & Identity/Cultural & Ethnic RSO 
1344,Underrepresented Minorities in Economics (Formerly Students of Color in Economics),Academic RSO 
1345,Underwater Robotics at Berkeley (Formerly Autonomous Underwater Vehicles Team at Berkeley),Professional RSO 
1346,UNICEF at Berkeley,Service RSO 
1347,United Nations Association of Berkeley,Service RSO 
1348,Unity in Christ,Spiritual RSO 
1349,UNITY Resource Center,Cultural & Identity/LGBTQ+ RSO 
1350,Universal Love and Peace,Service RSO 
1351,Universities Allied for Essential Medicines,Service RSO 
1352,Unmanned Aerial Vehicles at Berkeley,Professional RSO 
1353,Upsilon Pi Epsilon,Academic RSO 
1354,UpSync,Professional RSO 
1355,"U
UrsaTech",Technology RSO 
1356,V-Day at Berkeley,Political & Advocacy RSO 
1357,Valley Consulting Group,Professional RSO 
1358,Vendition Sales Society (Formerly Vendition Leadership Society of Berkeley),Professional RSO 
1359,"V
Venture Capital at Berkeley",Professional RSO 
1360,Venture Strategy Solutions at Berkeley,Professional RSO 
1361,Veritas Graduate Christian Fellowship,Spiritual RSO 
1362,Vex U Robotics at Berkeley,Technology RSO 
1363,Victoria's Secret PINK,Arts RSO 
1364,VIDA Medical Volunteer,Service RSO 
1365,Vietnamese Student Association,Cultural & Identity/International RSO 
1366,VISION,Cultural & Identity/International RSO 
1367,Vision Development Club of Berkeley,Professional RSO 
1368,Vision Science Club,Academic RSO 
1369,Visiting Scholars Ministry,Spiritual RSO 
1370,Volunteer Health Interpreters Organization,Health & Wellness RSO 
1371,Volunteer Income Tax Assistance Program,Service RSO 
1372,Volunteers Around the World at Berkeley,Service RSO 
1373,Volunteers for Medical Outreach,Service RSO 
1374,Voyager Consulting,Professional RSO 
1375,Wage Justice Clinic,Service RSO 
1376,Wave Makers of Berkeley,Academic RSO 
1377,Web Design and Development at Berkeley,Technology RSO 
1378,West Coast Swing at Berkeley,Performing Arts RSO 
1379,Whale Watchers at Berkeley,Recreational RSO 
1380,Women in Animation at Berkeley,Arts RSO 
1381,Women in Chemistry Initiative,Cultural & Identity/Women Interest RSO 
1382,Women in Computer Science and Electrical Engineering,Cultural & Identity/Women Interest RSO 
1383,"W
Women in Economics at Berkeley",Cultural & Identity/Women Interest RSO 
1384,women in leadership,Cultural & Identity/Women's Interest RSO 
1385,Women in Politics at Berkeley,Political & Advocacy RSO 
1386,"W
Women in Public Policy",GA Government Office 
1387,"W
Women in Science at Berkeley (Formerly IB Women in Science)",Cultural & Identity/Women's Interest RSO 
1388,Women in Tech Law,Professional RSO 
1389,Women of Color Initiative,GA Government Project 
1390,Womxn Ignite at Berkeley,Political & Advocacy RSO 
1391,Womxn in Mathematics at Berkeley (Formerly Women in Mathematics at Berkeley),Cultural & Identity/Women Interest RSO 
1392,Womxn of Berkeley Law (formerly known as Women's Association at Berkeley Law),Cultural & Identity/Women Interest RSO 
1393,Womxn of Color Collective(formerly known as Berkeley Law Women of Color Collective),Cultural & Identity/Women Interest RSO 
1394,Wonderworks,Service RSO 
1395,"W
Workers Rights Disability Law Clinic",Service RSO 
1396,"W
Workers' Rights Clinic",Professional RSO 
1397,World Peace Buddhists,Spiritual RSO 
1398,Wrestling Club at Berkeley,Recreational RSO 
1399,"X
XR Lab - Immersive Design Student Club",Technology RSO 
1400,Yemeni Student Association of Berkeley,Cultural & Identity/International RSO 
1401,You Mean More,Health & Wellness RSO 
1402,Young Americans for Liberty,Political & Advocacy RSO 
1403,Young Democratic Socialists of America at Berkeley,Political & Advocacy RSO 
1404,Young Life College at Berkeley,Spiritual RSO 
1405,Young Musicians Outreach at Berkeley,Arts RSO 
1406,"Y
Youth Advocacy Project",Service RSO 
1407,YWCA Girls* Group Mentoring Program,Service RSO 
1408,Zahanat,Performing Arts RSO 
1409,Zawadi: Black LGBTQ Community at Berkeley,Cultural & Identity/LGBTQ+ RSO 
1410,"Z
Zeta Chi Consulting",Professional RSO 
1411,Zeta Tau Alpha,CalGreeks Panhellenic Council (PHC) Sororities 
1412,[make]new christian fellowship,Spiritual RSO 
